등록번호,서명,저자,발행처,발행연도,서고,청구기호
E566434,지구의 완전한 지도,"Trethewey, Laura",눌와,2026,사회자연과학자료실(2층),454 T799dKㅂ
E566435,지구환경과 우리의 역할,김민영,도담소리,2026,사회자연과학자료실(2층),450 지15
E566436,(질문하는 십대를 위한) 과학 탐구,김요섭,날,2026,사회자연과학자료실(2층),404 과92
E566437,집은 중립적이지 않다,서윤영,지노,2026,사회자연과학자료실(2층),549.7 서66ㅈ
E566438,차별을 훔치는 남자들,박정훈,한겨레엔,2026,사회자연과학자료실(2층),337.2 박74ㅊ
E566439,(읽기만 해도 배부른)최고민수 요리 역사 특강,최고민수,온더페이지,2026,사회자연과학자료실(2층),594.509 최14ㅊ
E566440,"큰 뜻을 품은 자여, 왜 그 자리에 머물러 있는가",정약용,모티브,2025,커뮤니티라운지(1층-인기도서),151.581 정63ㅋ
E566441,타인의 구두,"Moyes, Jojo",다산책방,2026,인문과학자료실(3층),843.6 M938sKㅇ
E566442,터스크,장혜경,은행나무,2026,인문과학자료실(3층),848 G537tKㄱ
E566443,파란 피,허교범,위즈덤하우스,2026,인문과학자료실(3층),813.7 허14ㅍ
E566444,(플루타르코스가 들려주는) 그리스·로마 영웅,Plutarchos,열다,2020,인문과학자료실(3층),992.1 플296ㄱ
E566445,하버마스 철학으로의 초대,서요련,필로소픽,2026,인문과학자료실(3층),165.7 서65ㅎ
E566446,(한 권으로 총정리한)물리의 법칙,김영태,바다출판사,2026,커뮤니티라운지(1층-인기도서),420 김64ㅁ
E566447,한국 현대 실천 철학,김석수,돌베개,2008,인문과학자료실(3층),151.7 김54ㅎ
E566448,한국현대철학,정대현,이화여자대학교출판문화원,2016,인문과학자료실(3층),151.7 정22ㅎ
E566449,한국현대철학사,안건훈,서울대학교출판문화원,2025,인문과학자료실(3층),151.7 안13ㅎ
E566450,한눈에 보는 AI 반도체 산업,MrTrigger,한빛미디어,2026,커뮤니티라운지(1층-인기도서),004.73 미57ㅎ
E566451,화학공정계산,"Felder, Richard M",사이플러스,2026,사회자연과학자료실(2층),570.31 F312e4Kㅇ
E566452,(화학자K의)추리 과학실,이광렬,블랙피쉬,2026,사회자연과학자료실(2층),430 이14ㅊ
E566453,휩쓸린 것들만 남는다,김지유,클레이하우스,2026,인문과학자료실(3층),853 B595hKㄱ
E566454,1억을 모으는 내 아이의 첫 ETF,미즈쑤,푸른향기,2026,사회자연과학자료실(2층),327.856 미77ㅇ
E566455,(이론부터 기출문제까지 한 권으로 끝내는) 제어공학,오우진,BM성안당,2026,사회자연과학자료실(2층),559.9077 오66ㅈ6
E566456,20대를 위한 심리학,조난숙,학지사,2026,인문과학자료실(3층),183.3 조192ㅇ
E566457,3배속 도플갱어,박기옥,빈페이지,2026,인문과학자료실(3층),833.6 구38ㅅKㅂ
E566458,(AI 자율학습)제미나이로 일 잘하는 법,성구,길벗,2026,커뮤니티라운지(1층-인기도서),004.73 성15ㅈ
E566459,AI가 나보다 일을 잘할 때,김대식,창비,2026,사회자연과학자료실(2층),321.52 김22ㅇ
E566460,"AI 시대, 대학교육을 리디자인하라",정혜선,학지사,2026,사회자연과학자료실(2층),377 에68
E566461,AI토피아,KBS N 〈AI토피아〉 제작팀,노르웨이숲,2026,사회자연과학자료실(2층),331.5412 케68ㅇ
E566462,(MyCAD 실습으로 배우는) 반도체 설계,안태원,복두(더),2026,사회자연과학자료실(2층),569.4 안883ㅂ
E566463,가족 없는 시대,차해영,오월의봄,2026,사회자연과학자료실(2층),332.277 차93ㄱ
E566464,감사하는 뇌가 인생을 바꾼다,가바사와 시온,현대지성,2026,커뮤니티라운지(1층-인기도서),325.211 화883ㄱKㅇ
